Godthaab,10050,-51.7166,64.1666,931882,931882*931882*928282*935482*924682*939082*921082*942682*931882*931882*928282*935482*924682*939082*921082*942682*931883*931883*928283*935483*924683*939083*921083*942683*931881*931881*928281*935481*924681*939081*921081*942681*931884*931884*928284*935484*924684*939084*921084*942684*931880*931880*928280*935480*924680*939080*921080*942680*931885*931885*928285*935485*924685*939085*921085*942685*931879*931879*928279*935479*924679*939079*921079*942679*931886*931886*928286*935486*924686*939086*921086*942686*931878*931878*928278*935478*924678*939078*921078*942678*931887*931887*928287*935487*924687*939087*921087*942687*931877*931877*928277*935477*924677*939077*921077*942677*931888*931888*928288*935488*924688*939088*921088*942688*931876*931876*928276*935476*924676*939076*921076*942676*
Bucks County Port,10052,-74.7543,40.1368,1795652,1795652*1795652*1792052*1799252*1788452*1802852*1784852*1806452*1795652*1795652*1792052*1799252*1788452*1802852*1784852*1806452*1795653*1795653*1792053*1799253*1788453*1802853*1784853*1806453*1795651*1795651*1792051*1799251*1788451*1802851*1784851*1806451*1795654*1795654*1792054*1799254*1788454*1802854*1784854*1806454*1795650*1795650*1792050*1799250*1788450*1802850*1784850*1806450*1795655*1795655*1792055*1799255*1788455*1802855*1784855*1806455*1795649*1795649*1792049*1799249*1788449*1802849*1784849*1806449*
Ekonomiya,10053,40.5166,64.6999,914805,914805*914805*911205*918405*907605*922005*904005*925605*914805*914805*911205*918405*907605*922005*904005*925605*914806*914806*911206*918406*907606*922006*904006*925606*914804*914804*911204*918404*907604*922004*904004*925604*914807*914807*911207*918407*907607*922007*904007*925607*914803*914803*911203*918403*907603*922003*904003*925603*914808*914808*911208*918408*907608*922008*904008*925608*914802*914802*911202*918402*907602*922002*904002*925602*914809*914809*911209*918409*907609*922009*904009*925609*914801*914801*911201*918401*907601*922001*904001*925601*914810*914810*911210*918410*907610*922010*904010*925610*914800*914800*911200*918400*907600*922000*904000*925600*914811*914811*911211*918411*907611*922011*904011*925611*914799*914799*911199*918399*907599*921999*903999*925599*
Kashima,10055,140.7024,35.9531,1949007,1949007*1949007*1945407*1952607*1941807*1956207*1938207*1959807*1949007*1949007*1945407*1952607*1941807*1956207*1938207*1959807*1949008*1949008*1945408*1952608*1941808*1956208*1938208*1959808*1949006*1949006*1945406*1952606*1941806*1956206*1938206*1959806*1949009*1949009*1945409*1952609*1941809*1956209*1938209*1959809*1949005*1949005*1945405*1952605*1941805*1956205*1938205*1959805*1949010*1949010*1945410*1952610*1941810*1956210*1938210*1959810*1949004*1949004*1945404*1952604*1941804*1956204*1938204*1959804*
Waterford,10064,-7.1,52.25,1360729,1360729*1360729*1357129*1364329*1353529*1367929*1349929*1371529*1360729*1360729*1357129*1364329*1353529*1367929*1349929*1371529*1360730*1360730*1357130*1364330*1353530*1367930*1349930*1371530*1360728*1360728*1357128*1364328*1353528*1367928*1349928*1371528*1360731*1360731*1357131*1364331*1353531*1367931*1349931*1371531*1360727*1360727*1357127*1364327*1353527*1367927*1349927*1371527*1360732*1360732*1357132*1364332*1353532*1367932*1349932*1371532*1360726*1360726*1357126*1364326*1353526*1367926*1349926*1371526*1360733*1360733*1357133*1364333*1353533*1367933*1349933*1371533*1360725*1360725*1357125*1364325*1353525*1367925*1349925*1371525*
Portsmouth (United Kingdom),10083,-1.1095,50.788,1414788,1414788*1414788*1411188*1418388*1407588*1421988*1403988*1425588*1414788*1414788*1411188*1418388*1407588*1421988*1403988*1425588*1414789*1414789*1411189*1418389*1407589*1421989*1403989*1425589*1414787*1414787*1411187*1418387*1407587*1421987*1403987*1425587*1414790*1414790*1411190*1418390*1407590*1421990*1403990*1425590*1414786*1414786*1411186*1418386*1407586*1421986*1403986*1425586*1414791*1414791*1411191*1418391*1407591*1421991*1403991*1425591*1414785*1414785*1411185*1418385*1407585*1421985*1403985*1425585*1414792*1414792*1411192*1418392*1407592*1421992*1403992*1425592*1414784*1414784*1411184*1418384*1407584*1421984*1403984*1425584*
Huacho,10093,-77.6168,-11.1216,3642423,3642423*3642423*3638823*3646023*3635223*3649623*3631623*3653223*3642423*3642423*3638823*3646023*3635223*3649623*3631623*3653223*3642424*3642424*3638824*3646024*3635224*3649624*3631624*3653224*3642422*3642422*3638822*3646022*3635222*3649622*3631622*3653222*3642425*3642425*3638825*3646025*3635225*3649625*3631625*3653225*3642421*3642421*3638821*3646021*3635221*3649621*3631621*3653221*3642426*3642426*3638826*3646026*3635226*3649626*3631626*3653226*3642420*3642420*3638820*3646020*3635220*3649620*3631620*3653220*
Brixham,10095,-3.5118,50.4009,1425564,1425564*1425564*1421964*1429164*1418364*1432764*1414764*1436364*1425564*1425564*1421964*1429164*1418364*1432764*1414764*1436364*1425565*1425565*1421965*1429165*1418365*1432765*1414765*1436365*1425563*1425563*1421963*1429163*1418363*1432763*1414763*1436363*1425566*1425566*1421966*1429166*1418366*1432766*1414766*1436366*1425562*1425562*1421962*1429162*1418362*1432762*1414762*1436362*1425567*1425567*1421967*1429167*1418367*1432767*1414767*1436367*1425561*1425561*1421961*1429161*1418361*1432761*1414761*1436361*1425568*1425568*1421968*1429168*1418368*1432768*1414768*1436368*1425560*1425560*1421960*1429160*1418360*1432760*1414760*1436360*
Braefoot Bay,10096,-3.3105,56.0357,1223966,1223966*1223966*1220366*1227566*1216766*1231166*1213166*1234766*1223966*1223966*1220366*1227566*1216766*1231166*1213166*1234766*1223967*1223967*1220367*1227567*1216767*1231167*1213167*1234767*1223965*1223965*1220365*1227565*1216765*1231165*1213165*1234765*1223968*1223968*1220368*1227568*1216768*1231168*1213168*1234768*1223964*1223964*1220364*1227564*1216764*1231164*1213164*1234764*1223969*1223969*1220369*1227569*1216769*1231169*1213169*1234769*1223963*1223963*1220363*1227563*1216763*1231163*1213163*1234763*1223970*1223970*1220370*1227570*1216770*1231170*1213170*1234770*1223962*1223962*1220362*1227562*1216762*1231162*1213162*1234762*1223971*1223971*1220371*1227571*1216771*1231171*1213171*1234771*1223961*1223961*1220361*1227561*1216761*1231161*1213161*1234761*
Fosdyke,10101,-0.0251,52.8768,1339199,1339199*1339199*1335599*1342799*1331999*1346399*1328399*1349999*1339199*1339199*1335599*1342799*1331999*1346399*1328399*1349999*1339200*1339200*1335600*1342800*1332000*1346400*1328400*1350000*1339198*1339198*1335598*1342798*1331998*1346398*1328398*1349998*1339201*1339201*1335601*1342801*1332001*1346401*1328401*1350001*1339197*1339197*1335597*1342797*1331997*1346397*1328397*1349997*1339202*1339202*1335602*1342802*1332002*1346402*1328402*1350002*1339196*1339196*1335596*1342796*1331996*1346396*1328396*1349996*1339203*1339203*1335603*1342803*1332003*1346403*1328403*1350003*1339195*1339195*1335595*1342795*1331995*1346395*1328395*1349995*
