Kashima Oil Co. Terminal,10055,42242,140.6865,35.9131,1949006,1959808*1959809*1938203*1938204*1938205*1938206*1938207*1938208*1938209*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Kashima LPG Joint Stockpiling,10055,42243,140.7008,35.9101,1949007,1959808*1959809*1959810*1938204*1938205*1938206*1938207*1938208*1938209*1938210*1941804*1941805*1941806*1941807*1941808*1941809*1941810*1945404*1945405*1945406*1945407*1945408*1945409*1945410*1949004*1949005*1949006*1949007*1949008*1949009*1949010*1952604*1952605*1952606*1952607*1952608*1952609*1952610*1956204*1956205*1956206*1956207*1956208*1956209*1956210*1959804*1959805*1959806*1959807*
Shin-Etsu Chemical Terminal,10055,42244,140.6822,35.9057,1949006,1959808*1959809*1938203*1938204*1938205*1938206*1938207*1938208*1938209*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Nippon Steel & Sumitomo Metal Terminal,10055,41804,140.6755,35.9298,1949006,1959808*1959809*1938203*1938204*1938205*1938206*1938207*1938208*1938209*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
North Public Wharf,10055,41805,140.6525,35.9281,1949006,1959808*1959809*1938203*1938204*1938205*1938206*1938207*1938208*1938209*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Chugoku Lumber Wharf,10055,41806,140.6608,35.9214,1949006,1959808*1959809*1938203*1938204*1938205*1938206*1938207*1938208*1938209*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Kanto Grain Terminal,10055,41807,140.6649,35.9201,1949006,1959808*1959809*1938203*1938204*1938205*1938206*1938207*1938208*1938209*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Zen-Noh Silo,10055,41808,140.6666,35.9186,1949006,1959808*1959809*1938203*1938204*1938205*1938206*1938207*1938208*1938209*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
Showa Sangyo Grain,10055,41809,140.6692,35.9162,1949006,1959808*1959809*1938203*1938204*1938205*1938206*1938207*1938208*1938209*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
South Public Wharf,10055,41810,140.6845,35.8833,1952606,1959808*1959809*1963403*1963404*1963405*1963406*1963407*1963408*1963409*1941803*1941804*1941805*1941806*1941807*1941808*1941809*1945403*1945404*1945405*1945406*1945407*1945408*1945409*1949003*1949004*1949005*1949006*1949007*1949008*1949009*1952603*1952604*1952605*1952606*1952607*1952608*1952609*1956203*1956204*1956205*1956206*1956207*1956208*1956209*1959803*1959804*1959805*1959806*1959807*
